name,url,remote_support,adaptive_support,duration,test_type
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,Yes,No,30.0,"S,K,Remote,Testing"
Basic Statistics (New),https://www.shl.com/solutions/products/product-catalog/view/basic-statistics-new/,Yes,No,10.0,"K,Remote,Testing"
Biochemistry (New),https://www.shl.com/solutions/products/product-catalog/view/biochemistry-new/,Yes,No,8.0,"K,Remote,Testing"
Biotech Lab Techniques (New),https://www.shl.com/solutions/products/product-catalog/view/biotech-lab-techniques-new/,Yes,No,5.0,"K,Remote,Testing"
BizTalk (New),https://www.shl.com/solutions/products/product-catalog/view/biztalk-new/,Yes,No,16.0,"K,Remote,Testing"
Business Communication (adaptive),https://www.shl.com/solutions/products/product-catalog/view/business-communication-adaptive/,Yes,Yes,24.0,"K,Remote,Testing"
Business Communications,https://www.shl.com/solutions/products/product-catalog/view/business-communications/,Yes,No,35.0,"K,Remote,Testing"
C Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new/,Yes,No,10.0,"K,Remote,Testing"
C# Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4039/,Yes,No,9.0,"K,Remote,Testing"
C++ Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4122/,Yes,No,10.0,"K,Remote,Testing"
Cardiology and Diabetes Management (New),https://www.shl.com/solutions/products/product-catalog/view/cardiology-and-diabetes-management-new/,Yes,No,4.0,"K,Remote,Testing"
Ceramic Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/ceramic-engineering-new/,Yes,No,12.0,"K,Remote,Testing"
Chemical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/chemical-engineering-new/,Yes,No,13.0,"K,Remote,Testing"
Cisco AppDynamics (New),https://www.shl.com/solutions/products/product-catalog/view/cisco-appdynamics-new/,Yes,No,9.0,"K,Remote,Testing"
Civil Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/civil-engineering-new/,Yes,No,10.0,"K,Remote,Testing"
Cloud Computing (New),https://www.shl.com/solutions/products/product-catalog/view/cloud-computing-new/,Yes,No,8.0,"K,Remote,Testing"
COBOL Programming (New),https://www.shl.com/solutions/products/product-catalog/view/cobol-programming-new/,Yes,No,10.0,"K,Remote,Testing"
Computer Science (New),https://www.shl.com/solutions/products/product-catalog/view/computer-science-new/,Yes,No,12.0,"K,Remote,Testing"
Contact Center Call Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/contact-center-call-simulation-new/,Yes,No,15.0,"S,Remote,Testing"
